[2018-12-06 18:54:13,214] {/Users/praneta/Desktop/OOSD/FinalProject/new_eval_software/student_eval.py:159} DEBUG - Inside sign up
[2018-12-06 18:54:37,818] {/Users/praneta/Desktop/OOSD/FinalProject/new_eval_software/student_eval.py:129} DEBUG - Attempting DB connection via: root
[2018-12-06 18:54:37,861] {/Users/praneta/Desktop/OOSD/FinalProject/new_eval_software/student_eval.py:155} DEBUG - Inside sign up
[2018-12-06 18:54:37,886] {/Users/praneta/Desktop/OOSD/FinalProject/new_eval_software/student_eval.py:160} DEBUG - Inside sign up
[2018-12-06 18:55:17,659] {/Users/praneta/Desktop/OOSD/FinalProject/new_eval_software/student_eval.py:155} DEBUG - Inside sign up
[2018-12-06 18:55:17,670] {/Users/praneta/Desktop/OOSD/FinalProject/new_eval_software/student_eval.py:160} DEBUG - Inside sign up
[2018-12-07 14:01:07,319] {/Users/praneta/Desktop/OOSD/FinalProject/new_eval_software/student_eval.py:129} DEBUG - Attempting DB connection via: root
[2018-12-07 14:01:07,322] {/Users/praneta/Desktop/OOSD/FinalProject/new_eval_software/student_eval.py:155} DEBUG - Inside sign up
[2018-12-07 14:01:07,386] {/Users/praneta/Desktop/OOSD/FinalProject/new_eval_software/student_eval.py:159} DEBUG - Inside sign up
